Residência,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
IPATINGA,0,215,299,425,583,581,518,444,505,451,355,259,226,114,140,167,173,115,78,94,111,79,78,64,42,47,46,36,30,21,21,18,15,11,28,32,17,20,8,19,21,16,4,0,6526,31037
SAO JOAO DO ORIENTE,0,1,1,13,34,52,60,71,63,40,16,7,9,3,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,379,31037
IAPU,0,1,13,42,40,96,85,19,12,13,36,43,40,13,23,23,16,6,12,4,6,7,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,556,31037
IPABA,0,58,124,180,80,31,33,24,46,283,136,82,122,52,15,16,13,1,3,5,5,0,3,1,0,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1321,31037
NAQUE,0,12,42,49,60,52,52,80,43,62,53,32,30,26,24,23,26,18,7,6,2,5,2,0,1,1,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,717,31037
JOANESIA,0,2,4,1,3,3,14,0,6,6,6,7,4,4,4,6,15,9,35,11,4,3,17,2,7,2,3,5,3,3,1,3,6,10,5,4,4,3,2,10,1,0,2,4,244,31037
BELO ORIENTE,0,33,116,183,236,400,468,375,354,214,123,90,78,32,30,33,38,19,11,17,3,9,1,3,2,1,0,0,6,0,1,0,0,1,0,2,1,1,1,2,0,4,1,0,2889,31037
BUGRE,0,2,2,20,26,44,37,23,24,36,21,11,32,8,14,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,314,31037
DOM CAVATI,0,2,14,62,44,28,10,15,4,6,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,192,31037
SAO JOAO DO MANTENINHA,0,6,4,7,13,18,10,18,38,21,39,54,53,26,27,9,10,3,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,31038
MENDES PIMENTEL,0,2,2,5,9,9,5,7,24,35,20,39,63,26,22,6,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,31038
MANTENA,0,27,47,99,92,159,179,163,254,245,239,150,100,50,37,145,72,91,58,67,32,13,9,6,3,9,5,6,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,2361,31038
SAO FELIX DE MINAS,0,0,0,0,0,0,2,0,2,15,1,3,6,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,31038
ITABIRINHA,0,6,5,18,34,28,91,84,90,93,104,116,75,58,28,6,11,3,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,31038
DIVINO DAS LARANJEIRAS,0,2,4,14,15,16,16,15,14,20,36,31,23,18,16,11,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,31038
NOVA BELEM,0,0,0,1,3,16,10,5,28,46,31,5,40,17,33,10,9,2,1,5,4,4,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,278,31038
CENTRAL DE MINAS,0,1,1,2,4,6,28,32,68,74,71,85,92,56,38,3,4,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,31038
SANTA RITA DO ITUETO,0,0,1,0,0,6,29,44,56,33,66,67,83,41,48,31,14,7,8,7,4,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,552,31040
CONSELHEIRO PENA,0,2,5,4,6,10,18,38,81,136,177,218,209,134,133,86,86,65,21,14,9,8,7,2,3,3,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1482,31040
CUPARAQUE,0,0,0,3,1,3,12,15,106,227,278,193,123,44,16,6,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1035,31040
GOIABEIRA,0,0,0,0,0,6,1,4,3,11,12,8,24,8,3,2,3,3,8,6,1,0,2,5,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,31040
AIMORES,0,2,4,5,9,26,35,27,57,69,77,101,88,51,94,53,45,46,31,9,13,7,5,5,4,2,2,2,1,1,3,1,1,1,1,2,2,0,1,0,0,0,3,0,886,31040
RESPLENDOR,0,1,4,2,8,11,30,25,21,97,40,56,49,19,78,43,24,10,10,17,11,9,4,7,1,2,2,1,1,4,1,1,1,1,2,3,0,1,0,5,4,3,1,0,610,31040
ITUETA,0,0,1,0,2,8,17,6,32,36,34,18,8,11,12,14,6,1,4,2,2,3,0,1,1,1,2,4,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,230,31040
VOLTA GRANDE,0,3,8,11,5,14,12,41,161,99,32,51,93,52,6,21,6,20,19,12,0,13,6,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,31041
ESTRELA DALVA,0,1,2,3,2,1,9,9,22,47,11,22,22,12,16,15,2,6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,31041
