"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
".....  MALACACHETA";-;3;5;11;28;32;65;64;90;152;140;149;148;184;125;106;76;41;25;42;35;21;1;1;-;3;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1551
".....  POTE";-;-;1;1;2;5;12;9;20;30;29;19;26;10;22;19;9;13;13;7;4;1;3;-;1;-;1;-;1;1;1;-;1;2;1;-;1;-;1;1;-;-;-;-;267
".....  ATALEIA";-;-;-;2;1;-;7;10;13;31;9;13;18;9;8;5;9;2;2;4;3;-;-;3;1;1;-;1;-;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;156
".....  NOVO ORIENTE DE MINAS";-;6;6;9;17;27;67;26;54;63;39;17;15;7;10;10;-;1;-;1;-;-;1;-;-;2;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;382
".....  FRANCISCOPOLIS";-;27;27;37;32;45;42;52;58;51;63;40;51;31;59;27;23;20;15;15;6;4;2;2;-;1;-;3;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;735
".....  NOVO CRUZEIRO";-;-;1;3;7;13;22;22;37;56;76;113;153;93;200;245;282;173;170;185;118;140;91;53;39;40;32;21;13;13;6;-;1;5;3;1;1;3;1;8;1;1;-;-;2442
".....  TEOFILO OTONI";-;26;28;47;89;127;212;234;437;575;624;658;979;504;960;723;516;349;210;172;184;90;50;62;57;44;35;30;24;27;18;7;8;16;14;16;14;8;8;8;4;2;5;1;8202
".....  LADAINHA";-;2;1;-;1;6;14;19;77;75;111;111;98;53;60;47;40;27;30;25;13;9;4;9;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;834
".....  OURO VERDE DE MINAS";-;1;-;-;2;5;6;4;18;37;37;41;83;50;58;64;42;17;10;5;6;1;2;1;-;-;-;-;-;2;-;-;1;1;-;-;-;1;-;-;-;-;-;-;495
"31100 São Francisco";-;41;66;87;136;268;502;330;531;601;582;573;574;462;466;361;278;241;183;121;61;59;28;12;7;2;1;1;-;-;1;-;-;1;1;-;-;2;-;-;1;-;1;-;6581
".....  SAO ROMAO";-;5;2;10;13;22;41;32;39;43;23;19;12;12;9;4;1;1;3;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;294
".....  ICARAI DE MINAS";-;-;-;1;4;6;4;17;27;37;45;36;54;30;52;28;22;11;18;17;11;19;12;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;455
".....  URUCUIA";-;33;59;53;78;145;301;99;105;91;61;64;51;42;44;23;20;14;3;9;6;8;-;3;3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1317
".....  SAO FRANCISCO";-;3;4;7;24;68;143;146;305;394;424;438;456;377;360;306;235;215;159;94;44;31;16;7;4;-;-;1;-;-;-;-;-;-;1;-;-;2;-;-;1;-;1;-;4266
".....  PINTOPOLIS";-;-;1;16;17;27;13;36;55;36;29;16;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;249
"31101 Brasília de Minas";-;37;144;176;312;485;663;587;686;742;824;904;772;756;632;579;593;424;338;240;135;140;55;45;29;20;18;12;16;8;9;4;6;3;2;-;3;6;1;3;-;-;1;-;10410
".....  VARZELANDIA";-;-;1;6;5;22;15;12;33;34;73;116;139;115;87;115;120;103;73;40;28;47;5;12;8;3;3;2;2;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1222
".....  LONTRA";-;2;6;4;22;33;49;53;69;85;108;98;53;52;74;23;35;22;17;9;6;7;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;831
".....  LUISLANDIA";-;1;6;4;16;35;40;25;70;86;109;133;121;114;111;76;69;41;16;5;6;9;6;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1102
".....  JAPONVAR";-;3;65;52;70;103;120;100;86;69;49;49;27;38;2;2;18;3;1;2;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;863
".....  PATIS";-;-;4;3;-;8;6;15;21;15;42;17;18;20;3;8;16;13;7;9;12;6;-;-;-;-;-;4;8;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;257
".....  SAO JOAO DA PONTE";-;4;7;10;22;34;57;36;40;62;48;75;85;112;90;107;115;73;81;73;37;27;15;9;3;5;5;3;-;2;1;2;-;2;2;-;-;3;1;-;-;-;-;-;1248
".....  IBIRACATU";-;2;-;2;3;5;8;3;9;13;23;37;38;55;53;41;38;38;27;10;11;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;422
".....  CAMPO AZUL";-;-;-;-;1;4;13;12;21;19;22;28;11;20;-;20;23;21;25;24;7;9;6;4;4;1;2;-;2;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;302
".....  BRASILIA DE MINAS";-;22;52;88;154;228;314;288;307;324;300;307;236;181;177;149;115;71;65;54;21;27;17;12;6;10;6;3;2;1;5;1;2;1;-;-;1;1;-;3;-;-;-;-;3551
".....  UBAI";-;3;3;7;19;13;41;43;30;35;50;44;44;49;35;38;44;39;26;14;6;5;5;4;2;1;2;-;1;3;1;-;3;-;-;-;-;2;-;-;-;-;-;-;612
"31102 Peçanha/São João Evangelista/Santa Maria do Suaçuí";-;5;10;13;68;108;174;187;433;372;475;591;675;670;606;382;388;223;166;153;126;69;49;25;7;3;3;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5987
".....  PECANHA";-;-;1;4;26;13;50;13;88;20;77;109;103;177;227;90;46;54;31;35;37;11;6;2;3;2;1;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1230
".....  AGUA BOA";-;2;2;4;2;22;21;32;84;61;116;167;184;150;76;50;110;70;66;29;19;5;11;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1293
".....  SANTA MARIA DO SUACUI";-;-;4;-;5;9;10;18;61;70;54;66;106;63;56;51;42;20;6;12;18;8;12;5;2;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;701
".....  SAO SEBASTIAO DO MARANHAO";-;1;1;3;1;4;7;22;4;1;4;5;-;-;1;-;-;4;16;35;25;16;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;161
".....  PAULISTAS";-;-;-;1;10;11;15;18;22;50;49;36;39;18;41;17;9;6;10;10;12;10;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;393
".....  CANTAGALO";-;-;-;-;1;4;14;8;26;19;14;15;21;22;12;3;3;6;1;6;3;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;183
".....  FREI LAGONEGRO";-;-;1;-;4;2;2;2;2;-;13;-;19;23;3;6;6;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85
".....  SAO JOAO EVANGELISTA";-;2;-;-;7;9;13;24;47;36;44;104;98;131;101;99;91;28;20;13;8;4;3;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;886
".....  SAO PEDRO DO SUACUI";-;-;-;1;-;3;4;11;15;21;25;20;37;20;31;25;17;7;3;3;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;247
".....  JOSE RAYDAN";-;-;-;-;8;24;21;21;45;44;32;41;48;42;20;18;12;1;3;2;-;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;387
".....  SAO JOSE DO JACURI";-;-;1;-;4;7;17;18;39;50;47;28;20;24;38;23;52;27;10;8;2;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;421
"Município ignorado - MG";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";1;15983;26882;38543;58266;82996;106902;104868;148212;158226;160954;160256;164135;126564;129592;125312;105229;85078;69384;64209;51379;41699;27349;22457;15217;12204;9335;6331;5023;3849;2871;2249;2162;1673;2226;1806;1991;1866;2022;2075;1810;1395;831;39;2151451
